Zip Code,Latitude,Longitude,School DBN,Algebra2/Trigonometry,English,Geometry,Global History and Geography,Integrated Algebra,Living Environment,Physical Settings/Chemistry,Physical Settings/Physics,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Average SAT Score (Total)
11215,40.6696,-73.97926,15K684,67,90,74.6,83.2,74.7,83.9,71.1,66.8,553,551,539,1643
11221,40.68893,-73.92108,16K498,56.1,71.4,64.5,64.8,62.5,70.5,66.1,57.5,395,401,383,1179
11203,40.65952,-73.94255,17K546,57.5,84.8,69.4,77.7,67.4,76.8,71,77,468,454,464,1386
11203,40.64866,-73.9219,18K563,51.9,69.4,68,68.9,64.1,69,54.8,61.1,364,374,361,1099
11214,40.61342,-74.00365,20K445,69.7,66.5,74.1,69.8,68.9,74.6,73.3,83,488,422,417,1327
11220,40.63725,-74.02382,20K485,57.1,73.2,58.5,67.7,68,75.3,61.4,65,475,440,445,1360
11209,40.62791,-74.03995,20K490,67.2,76.2,71.6,70.9,69.5,71.7,72.8,81.1,513,456,451,1420
11204,40.62026,-73.98201,20K505,73.5,71,72.2,68.5,73,77,69,73.2,504,411,407,1322
11224,40.58212,-73.97289,21K344,58.1,67.7,67.3,66.8,63.8,72.9,63.5,80.4,436,430,421,1287
11235,40.58231,-73.96747,21K410,72.7,50.4,63.2,62.8,62.2,62.2,59.2,57.3,441,422,422,1285
11230,40.6205,-73.95923,21K525,56.4,78.1,69.8,69.6,62.6,74.1,66.1,71.9,500,479,472,1451
11223,40.58924,-73.98175,21K540,52.7,62.3,63.7,69.3,68.2,70.1,60.4,58.2,512,418,396,1326
11210,40.63334,-73.95292,22K405,68.9,79.2,75.6,74.6,70.8,76.1,77.1,76,550,514,516,1580
11229,40.60976,-73.94845,22K425,67.3,71.8,69.3,76.8,67.3,69.7,66.1,75.8,492,450,444,1386
11235,40.58085,-73.93609,22K535,74,85.1,82,81.1,64.7,82.8,73.9,76.8,563,534,543,1640
11101,40.74509,-73.93681,24Q264,68.7,79.5,73.6,79.4,72.6,77,75.9,84.9,489,456,459,1404
11101,40.74509,-73.93681,24Q267,59.7,78.5,58.3,63.5,65.9,68.2,69,76.3,435,437,441,1313
11373,40.7433,-73.87057,24Q293,71.1,77.6,63.5,73.7,77.4,80.5,70.4,74.1,435,424,418,1277
11373,40.74121,-73.87473,24Q455,49.5,65.7,65.4,64.9,64.5,63.3,65.5,76.6,434,401,389,1224
11385,40.71122,-73.90865,24Q485,56.4,67.4,67.5,60.5,62.8,64.1,59.9,77,452,422,416,1290
11368,40.73742,-73.85331,24Q550,50,66.9,60.5,72.7,72.7,72.3,63.6,66.8,413,405,393,1211
11373,40.72954,-73.88739,24Q585,59.9,81,71.2,81.5,66,82.4,67.6,66.1,476,471,480,1427
11101,40.74219,-73.92824,24Q600,47.6,70.4,59.7,76.2,70.9,66.1,54.1,54.4,467,436,432,1335
11101,40.74359,-73.92908,24Q610,67.9,79,77.6,77.8,75,81.6,71.4,81.7,511,464,456,1431
11367,40.7387,-73.82479,25Q425,55.4,74.1,66.1,64,66,69.9,68.6,75.5,467,422,425,1314
11354,40.76524,-73.82786,25Q460,72.3,64.8,70,57,64,64,60.2,64.7,444,407,405,1256
11367,40.73441,-73.82142,25Q525,90.7,91.9,93.7,95.2,87.2,92.7,87.9,87.1,680,640,661,1981
11364,40.75239,-73.75608,26Q415,67,60,78.8,74.4,65.3,75.3,72.1,72.3,563,505,510,1578
11365,40.74056,-73.79285,26Q430,77.8,76.8,82.5,76.8,72.9,80.8,77.6,79.5,562,483,485,1530
11427,40.73282,-73.73965,26Q435,50,68.2,58.5,58.9,63.7,65.1,71.9,71.2,397,396,391,1184
11361,40.77187,-73.78039,26Q495,62.8,70.6,74.3,70.2,70.6,75.6,64.5,64.2,523,479,485,1487
11426,40.7449,-73.72691,26Q566,61.7,74.6,64.5,69.3,62.4,72.9,67.6,64.2,453,434,439,1326
11417,40.67177,-73.84498,27Q308,56.5,74.4,67,69.4,70.8,71.3,64.8,68.1,426,435,424,1285
11418,40.69565,-73.83358,27Q475,44.5,69.9,66.3,65.2,64.1,65.4,68.8,65.6,413,406,399,1218
11417,40.67983,-73.83832,27Q480,59.7,67.7,64.2,63.5,66.4,62.2,66.7,61.4,418,401,395,1214
11416,40.6894,-73.84064,27Q650,63,79.6,72.5,77.2,76.1,79.1,68.6,63.8,489,457,451,1397
11432,40.71358,-73.79652,28Q328,69.1,80.3,75.5,79.1,75.1,78.9,71.4,78.2,415,392,386,1193
11432,40.71358,-73.79652,28Q350,63.5,77,67.9,68.8,69.8,70.4,69.4,64.4,487,460,463,1410
11375,40.72943,-73.84563,28Q440,73.4,79.3,76.2,75.8,69.1,77.2,70.3,71.6,517,485,483,1485
11432,40.70876,-73.80213,28Q505,58.8,70.3,62.9,67.5,66.4,66.8,60.8,56.7,448,432,426,1306
11432,40.71588,-73.79882,28Q620,77.7,79.4,75.6,73.4,70,80.6,70.7,75.3,514,473,470,1457
11413,40.66823,-73.75684,29Q248,48,63.8,56.8,60.1,57.9,62.2,55,58.7,423,422,403,1248
11423,40.71182,-73.77119,29Q326,43.7,69.5,49.8,58.4,62.7,64.3,55.1,47.2,418,424,411,1253
11101,40.74114,-73.94969,30Q301,52.3,81.9,69.7,77,71.3,79.1,58.4,41.4,444,458,444,1346
11103,40.75812,-73.91033,30Q445,62.4,66.6,65.2,63.5,69.7,70,69.4,67.1,466,424,426,1316
11106,40.76576,-73.93273,30Q450,41.2,67.4,54.6,61.9,65.7,63.9,51.9,55.6,430,423,412,1265
11106,40.75653,-73.92514,30Q501,64.5,87.4,75.2,81.6,61.7,84.2,67.3,74.3,536,543,543,1622
11101,40.74792,-73.94657,30Q502,75.1,71.8,77.2,67.2,64.5,75.1,76.3,72.1,443,420,411,1274
11101,40.75138,-73.93745,30Q555,67,65.6,75,63.4,72.6,77.1,69.3,79.8,490,374,381,1245
10314,40.58202,-74.15785,31R047,53.8,85.1,74,79.5,72.5,81.5,77.2,71.9,477,468,464,1409
10306,40.56918,-74.1073,31R440,58.1,74.4,66.3,66.9,67.2,72.7,66.7,70,454,446,444,1344
10302,40.63384,-74.14211,31R445,57.9,67.9,60.3,59.7,65.4,67,62.8,67.6,432,427,425,1284
10301,40.64474,-74.08134,31R450,54.5,71.1,62,63.1,66.5,67.6,64.4,64,453,458,444,1355
10312,40.52823,-74.19215,31R455,61.5,78.7,66.7,71.6,66.6,73.4,63.7,66.2,494,476,476,1446
10314,40.59865,-74.1231,31R460,62.3,77.7,66.5,71.8,65.4,73.3,68.9,71.7,496,490,487,1473
11221,40.69448,-73.92915,32K545,52.8,69.8,66.7,60.7,63.5,64.5,61.7,61.1,389,374,378,1141
