,School DBN,English,Global History and Geography,Integrated Algebra,Living Environment,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Average SAT Score (Total)
349,30Q555,65.6,63.4,72.6,77.1,490.0,374.0,381.0,1245.0
350,30Q575,65.8,80.8,73.3,75.8,495.0,482.0,479.0,1456.0
351,31R047,85.1,79.5,72.5,81.5,477.0,468.0,464.0,1409.0
352,31R064,77.4,69.4,69.2,76.2,442.0,458.0,454.0,1354.0
353,31R440,74.4,66.9,67.2,72.7,454.0,446.0,444.0,1344.0
354,31R445,67.9,59.7,65.4,67.0,432.0,427.0,425.0,1284.0
355,31R450,71.1,63.1,66.5,67.6,453.0,458.0,444.0,1355.0
356,31R455,78.7,71.6,66.6,73.4,494.0,476.0,476.0,1446.0
357,31R460,77.7,71.8,65.4,73.3,496.0,490.0,487.0,1473.0
359,31R600,70.4,62.6,65.6,66.3,420.0,429.0,409.0,1258.0
362,32K403,60.0,56.9,59.7,62.2,365.0,366.0,348.0,1079.0
363,32K545,69.8,60.7,63.5,64.5,389.0,374.0,378.0,1141.0
364,32K549,67.5,58.8,63.1,59.2,365.0,357.0,357.0,1079.0
365,32K552,60.7,58.5,57.3,60.4,392.0,374.0,379.0,1145.0
366,32K556,58.2,51.5,57.8,60.1,393.0,368.0,382.0,1143.0
