,School DBN,Algebra2/Trigonometry,English,Geometry,Global History and Geography,Integrated Algebra,Living Environment,Physical Settings/Chemistry,Physical Settings/Physics,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Average SAT Score (Total)
24,04M680,55.0,67.2,56.7,55.0,63.5,55.6,59.2,59.3,385.0,380.0,370.0,1135.0
25,06M467,39.4,68.1,51.8,62.2,61.8,64.9,54.2,40.9,401.0,394.0,381.0,1176.0
26,06M552,60.0,71.8,61.8,64.8,64.0,64.1,58.4,59.0,383.0,355.0,352.0,1090.0
27,08X293,40.4,69.5,56.4,69.9,65.1,68.8,71.4,53.9,390.0,411.0,393.0,1194.0
28,08X405,62.3,64.6,53.4,56.4,63.0,62.4,54.5,60.4,426.0,419.0,407.0,1252.0
30,09X250,58.8,67.4,50.5,59.1,63.0,62.1,56.1,60.6,400.0,391.0,397.0,1188.0
31,09X297,53.9,58.7,60.9,54.4,58.0,57.4,57.6,52.3,407.0,389.0,386.0,1182.0
32,09X525,37.8,67.2,48.3,56.6,66.9,59.5,57.8,62.9,375.0,372.0,374.0,1121.0
33,10X237,45.7,65.9,54.5,54.9,63.6,63.8,59.7,68.8,423.0,420.0,425.0,1268.0
34,10X434,52.2,72.1,55.3,72.5,69.5,71.7,54.2,69.1,413.0,408.0,402.0,1223.0
35,10X437,51.1,68.3,63.1,68.0,65.6,73.8,57.0,56.5,398.0,404.0,412.0,1214.0
36,10X440,43.8,65.5,59.1,54.7,64.4,61.2,60.3,65.2,445.0,436.0,433.0,1314.0
37,10X442,53.8,79.4,62.8,68.6,69.5,75.7,52.8,45.0,417.0,434.0,425.0,1276.0
38,10X445,87.5,92.6,91.8,95.4,93.9,93.4,88.1,88.3,714.0,660.0,667.0,2041.0
39,10X477,60.8,73.0,68.1,78.7,74.5,71.7,63.6,52.7,451.0,417.0,423.0,1291.0
40,10X696,85.4,93.4,86.9,93.2,85.5,94.8,85.4,90.0,669.0,672.0,672.0,2013.0
41,11X249,47.1,74.6,54.9,64.5,61.3,65.7,55.7,57.8,407.0,421.0,427.0,1255.0
42,11X288,56.4,77.2,66.7,68.7,71.8,71.2,62.9,62.4,488.0,461.0,458.0,1407.0
