,School DBN,Algebra2/Trigonometry,English,Geometry,Global History and Geography,Integrated Algebra,Living Environment,Physical Settings/Chemistry,Physical Settings/Physics,Zip Code,Latitude,Longitude,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Average SAT Score (Total)
44,11X418,47.6,63.6,61.8,62.2,60.6,68.7,48.1,61.5,10462.0,40.85143,-73.86502,408.0,428.0,404.0,1240.0
45,11X455,54.2,61.5,67.9,71.2,61.6,67.8,62.0,49.7,10475.0,40.87413,-73.8338,400.0,401.0,391.0,1192.0
46,11X513,62.4,66.2,67.2,57.5,69.5,59.3,70.3,65.4,10466.0,40.88792,-73.85287,407.0,363.0,358.0,1128.0
47,12X478,57.2,76.6,66.3,68.2,72.3,67.3,53.1,45.9,10472.0,40.83136,-73.87834000000001,430.0,449.0,448.0,1327.0
48,13K419,40.2,65.3,61.2,64.7,60.5,68.3,57.1,68.0,11201.0,40.69717,-73.98496,399.0,397.0,386.0,1182.0
49,13K430,82.6,88.5,87.4,91.9,89.8,91.0,78.4,80.7,11217.0,40.688109999999995,-73.97675,682.0,608.0,606.0,1896.0
50,13K605,47.0,67.6,55.6,58.1,61.0,58.8,60.5,57.2,11201.0,40.69494,-73.98604,394.0,422.0,400.0,1216.0
51,13K670,58.5,69.8,61.3,75.6,62.7,74.7,69.2,62.2,11205.0,40.69566,-73.96929,479.0,484.0,472.0,1435.0
52,14K478,55.8,67.5,61.4,61.9,64.4,69.2,62.3,61.4,11211.0,40.71196,-73.94043,463.0,446.0,425.0,1334.0
53,14K488,33.6,71.7,59.7,64.4,63.9,70.6,54.6,35.9,11211.0,40.71504,-73.95465,391.0,406.0,391.0,1188.0
54,14K561,62.7,69.2,71.7,70.3,71.7,67.6,70.8,66.9,11211.0,40.71504,-73.95465,443.0,440.0,430.0,1313.0
55,15K684,67.0,90.0,74.6,83.2,74.7,83.9,71.1,66.8,11215.0,40.6696,-73.97926,553.0,551.0,539.0,1643.0
56,16K498,56.1,71.4,64.5,64.8,62.5,70.5,66.1,57.5,11221.0,40.68893,-73.92108,395.0,401.0,383.0,1179.0
57,17K546,57.5,84.8,69.4,77.7,67.4,76.8,71.0,77.0,11203.0,40.65952,-73.94255,468.0,454.0,464.0,1386.0
58,18K563,51.9,69.4,68.0,68.9,64.1,69.0,54.8,61.1,11203.0,40.64866,-73.9219,364.0,374.0,361.0,1099.0
59,20K445,69.7,66.5,74.1,69.8,68.9,74.6,73.3,83.0,11214.0,40.61342,-74.00365,488.0,422.0,417.0,1327.0
60,20K485,57.1,73.2,58.5,67.7,68.0,75.3,61.4,65.0,11220.0,40.63725,-74.02382,475.0,440.0,445.0,1360.0
61,20K490,67.2,76.2,71.6,70.9,69.5,71.7,72.8,81.1,11209.0,40.62791,-74.03995,513.0,456.0,451.0,1420.0
62,20K505,73.5,71.0,72.2,68.5,73.0,77.0,69.0,73.2,11204.0,40.620259999999995,-73.98201,504.0,411.0,407.0,1322.0
63,21K344,58.1,67.7,67.3,66.8,63.8,72.9,63.5,80.4,11224.0,40.58212,-73.97289,436.0,430.0,421.0,1287.0
64,21K410,72.7,50.4,63.2,62.8,62.2,62.2,59.2,57.3,11235.0,40.58231,-73.96746999999999,441.0,422.0,422.0,1285.0
65,21K525,56.4,78.1,69.8,69.6,62.6,74.1,66.1,71.9,11230.0,40.6205,-73.95923,500.0,479.0,472.0,1451.0
66,21K540,52.7,62.3,63.7,69.3,68.2,70.1,60.4,58.2,11223.0,40.589240000000004,-73.98175,512.0,418.0,396.0,1326.0
67,22K405,68.9,79.2,75.6,74.6,70.8,76.1,77.1,76.0,11210.0,40.633340000000004,-73.95291999999999,550.0,514.0,516.0,1580.0
68,22K425,67.3,71.8,69.3,76.8,67.3,69.7,66.1,75.8,11229.0,40.609759999999994,-73.94845,492.0,450.0,444.0,1386.0
69,22K535,74.0,85.1,82.0,81.1,64.7,82.8,73.9,76.8,11235.0,40.58085,-73.93609000000001,563.0,534.0,543.0,1640.0
70,24Q264,68.7,79.5,73.6,79.4,72.6,77.0,75.9,84.9,11101.0,40.745090000000005,-73.93681,489.0,456.0,459.0,1404.0
71,24Q267,59.7,78.5,58.3,63.5,65.9,68.2,69.0,76.3,11101.0,40.745090000000005,-73.93681,435.0,437.0,441.0,1313.0
72,24Q293,71.1,77.6,63.5,73.7,77.4,80.5,70.4,74.1,11373.0,40.7433,-73.87057,435.0,424.0,418.0,1277.0
73,24Q455,49.5,65.7,65.4,64.9,64.5,63.3,65.5,76.6,11373.0,40.741209999999995,-73.87473,434.0,401.0,389.0,1224.0
74,24Q485,56.4,67.4,67.5,60.5,62.8,64.1,59.9,77.0,11385.0,40.711220000000004,-73.90865,452.0,422.0,416.0,1290.0
75,24Q550,50.0,66.9,60.5,72.7,72.7,72.3,63.6,66.8,11368.0,40.73742,-73.85331,413.0,405.0,393.0,1211.0
76,24Q585,59.9,81.0,71.2,81.5,66.0,82.4,67.6,66.1,11373.0,40.72954,-73.88739,476.0,471.0,480.0,1427.0
77,24Q600,47.6,70.4,59.7,76.2,70.9,66.1,54.1,54.4,11101.0,40.74219,-73.92824,467.0,436.0,432.0,1335.0
78,24Q610,67.9,79.0,77.6,77.8,75.0,81.6,71.4,81.7,11101.0,40.743590000000005,-73.92908,511.0,464.0,456.0,1431.0
